TDFREL07,TDFOID07,TDFOSN07,Q38_WD,Q38_WE,Q38WDDAY,Q38WEDAY,Q38WDIWM,Q38WDIWD,Q38WDIWY,Q38WEIWM,Q38WEIWD,Q38WEIWY,Q38WDSAQ,Q38WESAQ,Q38WDFTF,Q38WEFTF,Q38WDTEL,Q38WETEL,Q38WDCH,Q38WECH,Q38WDPCG,Q38WEPCG,Q38WDOCG,Q38WEOCG,Q38WDOTH,Q38WEOTH,Q38WD_A1,Q38WE_A1,Q38WD_A2,Q38WE_A2,Q38WDA3M,Q38WDA3D,Q38WDA3Y,Q38WEA3M,Q38WEA3D,Q38WEA3Y,Q38WDA4M,Q38WDA4D,Q38WDA4Y,Q38WEA4M,Q38WEA4D,Q38WEA4Y
1,2668,4,1,1,4,7,10,28,2007,10,28,2007,1,1,1,1,5,5,1,1,5,5,5,5,5,5,1,1,2,2,10,24,2007,10,27,2007,10,24,2007,10,27,2007
1,293,3,1,1,4,1,10,14,2007,10,14,2007,1,1,1,1,5,5,1,1,5,5,5,5,5,5,1,1,5,5,10,10,2007,10,7,2007,10,10,2007,10,7,2007
1,940,3,1,1,5,1,11,4,2007,11,4,2007,1,1,5,5,5,5,1,1,1,1,5,5,5,5,3,3,1,1,11,1,2007,10,28,2007,11,2,2007,10,28,2007
1,940,4,1,1,5,1,11,4,2007,11,4,2007,1,1,5,5,5,5,1,1,1,1,5,5,5,5,3,3,1,1,11,1,2007,10,28,2007,11,2,2007,10,28,2007
1,7955,4,1,1,3,1,3,13,2008,3,13,2008,1,1,1,1,5,5,1,1,5,5,5,5,5,5,6,6,2,4,3,11,2008,3,9,2008,3,13,2008,3,13,2008
1,2831,2,1,1,3,1,3,1,2008,3,1,2008,1,1,1,1,5,5,1,1,5,5,5,5,5,5,1,1,1,5,2,26,2008,2,24,2008,2,26,2008,2,24,2008
1,5288,2,1,1,5,1,12,1,2007,12,1,2007,1,1,1,1,5,5,1,1,5,5,5,5,5,5,1,1,3,2,11,29,2007,11,25,2007,11,29,2007,11,25,2007
1,1214,3,1,1,6,7,3,3,2008,3,13,2008,5,5,5,5,1,1,1,1,5,5,5,5,5,5,1,1,3,3,11,2,2007,11,3,2007,11,4,2007,11,4,2007
1,2199,3,1,1,5,7,10,25,2007,10,25,2007,1,1,1,1,5,5,1,1,5,5,5,5,5,5,1,1,1,3,10,18,2007,10,20,2007,10,24,2007,10,20,2007
1,732,3,1,1,5,1,11,10,2007,11,10,2007,5,5,1,1,5,5,5,1,1,1,5,5,5,5,5,5,1,2,11,8,2007,11,4,2007,11,8,2007,11,4,2007
1,1528,3,1,1,4,1,11,30,2007,11,30,2007,1,1,1,1,5,5,1,1,5,5,5,5,5,5,1,1,1,1,11,28,2007,11,25,2007,11,29,2007,11,26,2007
1,3357,4,1,1,4,7,12,1,2007,12,1,2007,1,1,1,1,5,5,1,1,5,5,5,5,5,5,1,1,3,2,11,7,2007,11,10,2007,11,7,2007,11,10,2007
1,2180,3,1,1,5,7,12,1,2007,12,1,2007,1,1,1,1,5,5,1,1,5,5,5,5,5,5,1,1,2,4,11,8,2007,11,3,2007,11,8,2007,11,3,2007
1,181,4,1,1,3,7,2,10,2008,2,10,2008,1,1,5,5,5,5,1,1,5,5,5,5,5,5,1,1,2,2,1,8,2008,1,5,2008,1,9,2008,1,6,2008
1,514,3,1,1,4,1,1,26,2008,1,26,2008,1,1,1,1,5,5,1,1,5,5,5,5,5,5,1,1,1,2,1,13,2008,1,16,2008,1,13,2008,1,16,2008
1,514,4,1,1,4,1,1,26,2008,1,26,2008,1,1,1,1,5,5,1,1,5,5,5,5,5,5,2,2,1,1,1,13,2008,1,16,2008,1,13,2008,1,16,2008
1,6574,3,1,1,5,7,10,27,2007,10,27,2007,1,1,5,5,5,1,1,1,5,5,5,5,5,5,1,6,4,4,10,25,2007,10,27,2007,10,25,2007,10,28,2007
1,3656,3,1,1,6,1,11,4,2007,11,4,2007,1,1,1,1,5,5,1,1,5,5,5,5,5,5,1,1,1,1,11,2,2007,10,28,2007,11,3,2007,10,28,2007
1,3677,3,1,1,5,7,11,24,2007,11,24,2007,5,5,1,1,5,5,1,1,5,5,5,5,5,5,9,9,9,9,99,99,9999,99,99,9999,99,99,9999,99,99,9999
1,7981,3,1,1,4,1,12,10,2007,12,10,2007,1,1,1,1,5,5,1,1,5,5,5,5,5,5,1,1,1,1,12,5,2007,12,9,2007,12,5,2007,12,9,2007
1,7981,4,1,1,4,1,12,10,2007,12,10,2007,1,1,1,1,5,5,1,1,5,5,5,5,5,5,1,1,1,3,12,5,2007,12,9,2007,12,5,2007,12,9,2007
1,7031,5,1,1,5,1,11,24,2007,11,24,2007,1,1,5,5,5,5,5,5,1,1,5,5,5,5,2,2,1,4,99,99,9999,99,99,9999,99,99,9999,99,99,9999
1,5098,3,1,1,3,7,2,26,2008,2,26,2008,1,1,5,5,5,5,5,5,1,1,5,5,5,5,2,9,9,9,99,99,9999,99,99,9999,99,99,9999,99,99,9999
1,546,3,1,1,4,7,11,16,2007,11,16,2007,1,5,1,1,5,5,1,1,5,5,5,5,5,5,1,6,2,5,10,17,2007,11,9,2007,10,18,2007,11,16,2007
1,7518,3,1,1,3,7,11,12,2007,11,2,2007,1,1,5,5,5,5,1,1,5,5,5,5,5,5,1,1,4,4,11,6,2007,11,10,2007,11,6,2007,11,12,2007
1,3468,3,1,1,4,1,11,8,2007,11,8,2007,1,1,1,1,5,5,1,1,1,1,5,1,5,5,3,7,1,4,10,7,2007,10,7,2007,10,7,2007,10,7,2007
1,1347,3,1,1,6,1,11,17,2007,11,7,2007,1,1,1,1,5,5,5,5,1,1,5,5,5,5,2,2,2,2,11,9,2007,11,11,2007,11,10,2007,11,11,2007
1,1347,4,1,1,6,1,11,17,2007,11,17,2007,1,1,1,1,5,5,5,5,1,1,5,5,5,5,2,3,3,2,11,9,2007,11,11,2007,11,9,2007,11,11,2007
1,4197,3,1,1,2,1,4,17,2008,4,17,2008,1,1,5,5,1,1,1,1,5,5,5,5,5,5,1,1,1,3,12,17,2007,4,6,2008,12,17,2007,4,6,2008
1,5293,3,1,1,3,7,11,19,2007,11,19,2007,1,1,5,5,5,5,1,1,5,5,5,5,5,5,1,1,2,5,11,13,2007,11,17,2007,11,13,2007,11,17,2007
1,5293,4,1,1,3,7,11,19,2007,11,19,2007,5,1,5,5,5,5,5,1,5,5,5,5,5,5,1,1,4,5,11,13,2007,11,17,2007,11,13,2007,11,17,2007
1,117,4,1,1,2,7,11,15,2007,11,15,2007,1,1,1,1,5,5,1,1,5,5,5,5,5,5,1,1,3,1,11,5,2007,11,3,2007,11,5,2007,11,3,2007
1,2888,3,1,1,4,1,11,3,2007,11,13,2007,5,5,1,1,5,5,1,5,1,1,5,5,5,5,3,2,1,1,11,7,2007,11,11,2007,11,12,2007,11,12,2007
1,3466,3,1,1,4,7,10,20,2007,10,20,2007,1,1,1,1,5,5,1,1,5,5,5,5,5,5,1,9,1,2,10,17,2007,10,13,2007,10,18,2007,10,14,2007
1,3466,4,1,1,4,7,10,20,2007,10,20,2007,1,1,1,1,5,5,1,1,5,5,5,5,5,5,1,1,3,2,10,17,2007,9,26,2007,10,19,2007,10,19,2007
1,915,3,1,1,3,7,10,25,2007,10,25,2007,1,1,5,1,5,5,1,1,1,1,5,5,1,1,7,2,1,4,10,23,2007,10,20,2007,10,25,2007,10,25,2007
1,915,4,1,1,3,7,10,24,2007,10,24,2007,1,1,5,1,5,5,5,1,1,1,5,5,5,1,2,2,1,1,10,16,2007,10,20,2007,10,22,2007,10,22,2007
1,2886,3,1,1,6,7,4,3,2008,4,3,2008,1,1,1,1,5,5,1,1,5,5,5,5,5,5,1,1,2,2,3,21,2008,3,22,2008,3,21,2008,3,22,2008
1,3408,3,1,1,3,1,10,19,2007,10,19,2007,1,1,5,1,5,5,5,1,5,1,5,5,5,5,2,3,1,2,10,16,2007,10,14,2007,10,17,2007,10,14,2007
1,2214,4,1,1,3,7,1,10,2008,1,10,2008,1,1,1,1,5,5,1,1,5,5,5,5,5,5,1,1,3,3,1,8,2008,1,5,2008,1,8,2008,1,8,2008
1,161,2,1,1,3,7,12,11,2007,12,11,2007,1,1,1,1,5,5,1,1,5,5,5,5,5,5,6,6,1,1,12,4,2007,12,8,2007,12,11,2007,12,11,2007
1,161,3,1,1,3,7,12,11,2007,12,11,2007,1,1,1,1,5,5,1,1,5,5,5,5,5,5,6,6,1,3,12,4,2007,12,8,2007,12,11,2007,12,11,2007
1,4537,4,1,1,4,7,99,99,9999,3,20,2008,1,1,5,5,5,5,1,1,1,1,5,5,5,5,3,3,1,1,3,12,2008,3,15,2008,3,13,2008,3,16,2008
1,6856,3,1,1,6,7,2,10,2008,2,10,2008,1,1,1,1,5,5,1,1,1,1,5,5,5,5,3,3,1,3,2,8,2008,2,9,2008,2,10,2008,2,10,2008
1,2064,2,1,1,4,7,10,19,2007,10,19,2007,1,1,5,5,5,5,1,1,5,5,5,5,5,5,1,1,1,3,10,16,2007,10,13,2007,10,16,2007,10,16,2007
1,1472,3,1,1,4,1,4,2,2008,4,2,2008,1,1,5,5,1,1,1,1,5,5,5,5,5,5,1,1,4,2,2,20,2008,2,24,2008,2,27,2008,2,27,2008
1,1472,4,1,1,4,1,4,2,2008,4,2,2008,1,1,5,5,1,1,1,1,1,1,5,5,5,5,3,3,2,3,2,20,2008,2,24,2008,2,20,2008,2,25,2008
1,1276,3,1,1,6,1,11,7,2007,11,7,2007,1,1,5,5,5,5,1,1,5,5,5,5,5,5,1,1,1,2,11,12,2007,11,4,2007,11,12,2007,11,4,2007
1,5265,3,1,1,5,1,1,21,2008,1,20,2008,1,1,1,1,5,5,1,1,5,5,5,5,5,5,1,1,5,5,1,17,2008,1,20,2008,1,17,2008,1,20,2008
1,5265,4,1,1,5,1,1,21,2008,1,21,2008,1,1,1,1,5,5,1,1,5,5,5,5,5,5,1,1,5,4,1,17,2008,1,20,2008,1,17,2008,1,20,2008
1,3002,3,1,1,3,7,10,17,2007,10,17,2007,1,1,5,5,5,5,1,1,5,5,5,5,5,5,1,1,1,2,10,16,2007,10,13,2007,10,16,2007,10,16,2007
1,1868,3,1,1,5,7,10,7,2007,10,7,2007,5,1,1,1,5,5,1,1,5,5,5,5,5,5,1,1,2,2,10,4,2007,10,6,2007,10,4,2007,10,7,2007
1,1868,4,1,1,5,7,10,7,2007,10,7,2007,5,5,1,1,5,5,1,1,5,5,5,5,5,5,1,1,2,2,10,4,2007,10,6,2007,10,4,2007,10,6,2007
1,4460,3,1,1,3,1,2,16,2008,2,23,2008,1,1,5,5,5,5,1,1,5,5,5,5,5,5,1,1,2,1,2,12,2008,2,17,2008,2,12,2008,2,17,2008
1,4066,5,1,1,5,1,1,26,2008,1,26,2008,1,1,1,1,5,5,1,1,5,5,5,5,5,5,1,1,2,1,1,23,2008,1,20,2008,1,24,2008,1,24,2008
1,1168,3,1,1,5,1,12,21,2007,12,21,2007,1,1,1,1,5,5,1,1,5,5,5,5,5,5,1,1,2,2,12,20,2007,12,16,2007,12,20,2007,12,16,2007
1,3839,3,1,1,5,7,3,28,2008,3,28,2008,1,1,5,5,5,5,1,1,1,1,5,5,5,5,3,3,4,3,3,13,2008,3,15,2008,3,13,2008,3,15,2008
1,6857,3,1,1,3,1,11,16,2007,11,16,2007,5,5,1,1,5,5,5,5,1,1,5,5,5,5,2,2,4,4,11,13,2007,11,11,2007,11,13,2007,11,11,2007
1,123,3,1,1,5,1,10,30,2007,10,30,2007,1,1,1,1,5,5,1,1,1,1,5,5,5,5,3,3,3,3,10,4,2007,10,7,2007,10,4,2007,10,7,2007
1,2532,4,1,1,3,1,1,20,2008,1,20,2008,1,1,1,1,5,5,1,1,5,5,5,5,5,5,6,1,2,3,1,15,2008,1,13,2008,1,15,2008,1,14,2008
1,2651,3,1,1,4,7,1,2,2008,1,2,2008,1,1,5,5,5,5,1,1,5,5,5,5,1,5,6,1,3,1,1,9,2008,12,29,2007,1,10,2008,12,31,2007
1,3122,3,1,1,6,1,10,19,2007,10,19,2007,1,1,5,5,5,5,1,1,5,5,5,5,5,5,1,1,3,3,10,12,2007,10,14,2007,10,12,2007,10,14,2007
1,8143,3,1,1,3,1,4,5,2008,4,5,2008,1,5,5,5,5,5,5,5,1,5,5,5,5,5,2,2,1,2,2,19,2008,2,24,2008,2,19,2008,2,24,2008
1,1233,3,1,1,5,1,11,12,2007,11,12,2007,1,1,5,5,5,5,1,1,5,5,5,5,5,5,1,1,1,1,11,8,2007,11,11,2007,11,8,2007,11,11,2007
1,758,3,1,1,5,1,12,15,2007,12,15,2007,1,1,1,1,5,5,1,1,5,5,5,5,5,5,1,1,4,3,11,29,2007,11,25,2007,11,29,2007,11,25,2007
1,44,2,1,1,2,7,99,99,9999,99,99,9999,5,5,5,5,5,5,5,5,5,5,5,5,5,5,9,9,9,9,99,99,9999,99,99,9999,99,99,9999,99,99,9999
1,614,3,1,1,3,7,11,3,2007,11,3,2007,1,1,5,5,5,5,1,1,5,5,5,5,5,5,1,1,2,2,10,28,2007,10,28,2007,10,28,2007,10,28,2007
1,614,4,1,1,3,7,11,3,2007,11,3,2007,1,1,1,1,5,5,1,1,5,5,5,5,5,5,1,1,2,3,10,28,2007,10,28,2007,10,28,2007,10,28,2007
1,1850,3,1,1,6,1,10,18,2007,10,18,2007,1,1,5,5,5,5,1,1,1,1,5,5,5,5,5,5,1,1,10,11,2007,10,13,2007,10,11,2007,10,13,2007
1,1055,3,1,1,3,1,11,20,2007,11,20,2007,1,1,5,5,5,5,1,1,5,5,5,5,5,5,1,1,2,1,10,23,2007,10,21,2007,10,23,2007,10,21,2007
1,1055,4,1,1,3,1,11,11,2007,11,11,2007,1,1,5,5,5,5,1,1,1,1,5,5,5,5,3,1,2,1,11,6,2007,11,4,2007,11,6,2007,11,4,2007
1,1114,3,1,1,4,1,4,24,2008,4,24,2008,5,5,5,5,1,1,1,1,5,5,5,5,5,5,6,6,1,1,4,23,2008,4,20,2008,4,24,2008,4,24,2008
1,3023,3,1,1,3,7,10,13,2007,10,13,2007,5,5,1,1,5,5,1,1,1,1,5,5,1,1,9,9,9,9,99,99,9999,99,99,9999,99,99,9999,99,99,9999
1,3023,4,1,1,3,7,10,13,2007,10,13,2007,5,5,1,1,5,5,1,1,1,1,5,5,1,1,9,9,9,9,99,99,9999,99,99,9999,99,99,9999,99,99,9999
1,4158,2,1,1,3,7,3,5,2008,3,5,2008,1,1,5,5,5,5,1,1,1,1,5,5,5,5,3,3,2,3,2,26,2008,2,23,2008,2,26,2008,2,24,2008
1,1585,2,1,1,2,7,12,18,2007,12,18,2007,1,1,1,5,1,1,1,1,5,1,5,5,5,5,1,3,2,2,10,22,2007,10,27,2007,10,22,2007,10,28,2007
1,2061,4,1,1,2,1,2,6,2008,2,6,2008,1,1,1,1,5,5,1,1,5,5,5,5,5,5,1,9,2,1,4,4,2008,2,3,2008,4,4,2008,2,4,2008
1,485,3,1,1,3,1,11,2,2007,11,2,2007,1,1,5,5,5,5,1,1,5,5,5,5,5,5,1,1,4,2,10,30,2007,10,28,2007,10,30,2007,10,28,2007
1,6950,4,1,1,2,7,11,3,2007,11,3,2007,1,1,5,5,5,5,5,5,1,1,5,5,5,5,2,2,1,5,10,19,2007,10,24,2007,11,3,2007,11,3,2007
1,2581,3,1,1,2,7,12,6,2007,12,6,2007,1,1,1,1,5,5,1,1,1,1,5,5,5,5,3,3,4,3,11,26,2007,11,24,2007,11,26,2007,11,26,2007
1,1096,3,1,1,5,7,10,2,2007,10,21,2007,5,5,1,1,5,5,1,1,5,5,5,5,5,5,1,1,4,2,10,18,2007,10,6,2007,10,18,2007,10,6,2007
1,6089,4,1,1,3,1,99,99,9999,99,99,9999,5,5,5,5,5,5,1,1,5,5,5,5,5,5,9,9,9,9,99,99,9999,99,99,9999,99,99,9999,99,99,9999
1,4961,3,1,1,6,7,10,24,2007,10,24,2007,1,1,1,1,5,5,1,1,1,1,5,5,5,5,2,2,2,1,10,19,2007,10,20,2007,10,24,2007,10,24,2007
1,515,2,1,1,5,7,10,15,2007,10,15,2007,1,1,1,1,5,5,1,1,5,5,5,5,5,5,1,1,2,2,10,11,2007,10,13,2007,10,14,2007,10,15,2007
1,515,3,1,1,5,7,10,15,2007,10,15,2007,1,1,1,1,5,5,1,1,1,1,5,5,5,5,3,3,3,3,10,11,2007,10,13,2007,10,12,2007,10,15,2007
1,132,2,1,1,4,1,10,19,2007,10,19,2007,1,1,1,1,5,5,1,1,5,5,5,5,1,5,7,1,2,1,10,17,2007,10,14,2007,10,19,2007,10,15,2007
1,1593,2,1,1,6,7,10,19,2007,10,19,2007,1,1,1,1,5,5,1,1,5,5,5,5,1,5,7,1,1,5,10,17,2007,10,12,2007,10,19,2007,10,12,2007
1,3971,3,1,1,4,7,11,23,2007,11,23,2007,1,1,5,5,5,5,1,1,5,5,5,5,5,5,1,1,2,2,11,7,2007,11,10,2007,11,7,2007,11,10,2007
1,2795,3,1,1,3,7,3,29,2008,3,29,2008,5,5,1,1,5,5,1,1,5,5,5,5,1,1,6,6,3,2,3,25,2008,3,22,2008,3,29,2008,3,29,2008
1,1938,4,1,1,3,1,10,29,2007,10,29,2007,1,1,1,1,5,5,5,5,1,1,5,5,5,5,2,2,2,2,10,23,2007,10,21,2007,10,24,2007,10,22,2007
1,1938,5,1,1,3,1,10,29,2007,10,29,2007,1,1,1,1,5,5,5,5,1,1,5,5,5,5,2,2,1,2,10,23,2007,10,21,2007,10,24,2007,10,22,2007
1,2826,2,1,1,3,1,1,8,2008,1,8,2008,1,1,1,1,5,5,1,5,5,5,5,5,5,5,1,1,4,3,1,8,2008,1,6,2008,1,8,2008,1,7,2008
1,1883,4,1,1,5,7,10,17,2007,10,17,2007,1,1,1,1,5,5,1,1,1,1,5,5,5,5,3,3,1,5,10,1,2007,10,13,2007,10,15,2007,10,15,2007
1,1709,2,1,1,5,1,12,4,2007,12,4,2007,1,1,5,5,5,5,1,1,1,1,5,5,5,5,3,3,1,5,11,15,2007,11,18,2007,11,18,2007,12,4,2007
1,3454,3,1,1,2,1,1,2,2008,1,2,2008,1,1,5,5,5,5,1,1,1,1,5,5,5,5,3,3,5,2,11,26,2007,11,25,2007,11,27,2007,11,27,2007
1,3595,3,1,1,5,1,11,12,2007,10,12,2007,1,1,1,1,5,5,1,1,5,5,5,5,5,5,1,9,2,9,11,8,2007,99,99,9999,11,9,2007,99,99,9999
1,5148,3,1,1,4,1,11,20,2007,11,20,2007,1,1,1,1,1,1,5,1,1,1,5,5,5,5,2,3,1,1,11,14,2007,11,18,2007,11,14,2007,11,19,2007
1,7479,3,1,1,5,7,12,26,2007,12,26,2007,1,1,1,1,5,5,1,1,5,5,5,5,5,5,1,1,1,3,12,20,2007,12,22,2007,12,20,2007,12,22,2007
1,6918,3,1,1,5,7,11,17,2007,11,17,2007,1,1,5,5,5,5,1,1,1,1,5,5,5,5,3,3,1,5,11,15,2007,11,10,2007,11,15,2007,11,10,2007
1,6918,4,1,1,5,7,1,17,2008,11,17,2007,1,1,5,5,5,5,1,1,1,1,5,5,5,5,3,3,2,2,11,15,2007,11,10,2007,11,15,2007,11,10,2007
1,2998,3,1,1,4,1,11,11,2007,11,11,2007,1,1,5,5,5,5,1,1,1,1,5,5,5,5,3,3,1,3,11,7,2007,11,4,2007,11,7,2007,11,4,2007
1,6519,2,1,1,5,7,11,2,2007,11,2,2007,1,1,1,1,5,5,1,1,1,1,5,5,5,5,3,3,5,5,10,18,2007,10,13,2007,10,19,2007,10,14,2007
1,788,3,1,1,6,7,12,10,2007,12,10,2007,5,5,5,5,1,1,5,5,1,1,5,5,5,5,2,2,5,4,11,23,2007,11,24,2007,11,27,2007,11,27,2007
1,486,3,1,1,6,7,10,14,2007,10,14,2007,1,1,1,1,5,5,1,1,5,5,5,5,5,5,9,9,9,9,99,99,9999,99,99,9999,99,99,9999,99,99,9999
1,486,4,1,1,6,7,10,14,2007,10,14,2007,1,1,1,1,5,5,1,1,5,5,5,5,5,5,9,9,9,9,99,99,9999,99,99,9999,99,99,9999,99,99,9999
1,315,3,1,1,2,7,11,2,2007,11,2,2007,1,1,1,1,5,5,1,1,1,1,5,5,5,5,3,3,2,4,10,22,2007,10,20,2007,10,22,2007,10,20,2007
1,5635,4,1,1,6,7,11,9,2007,11,9,2007,1,1,1,1,5,5,1,1,5,1,5,5,5,1,1,3,2,2,11,2,2007,11,3,2007,11,3,2007,11,4,2007
1,4274,4,1,1,5,1,11,18,2007,11,8,2007,1,1,1,1,5,5,1,1,5,5,5,5,5,5,1,1,4,4,11,11,2007,11,15,2007,11,12,2007,11,16,2007
1,5133,3,1,1,5,1,12,15,2007,12,15,2007,5,5,1,1,5,5,5,5,1,1,5,5,5,5,2,2,1,3,12,13,2007,12,9,2007,12,13,2007,12,10,2007
1,1738,3,1,1,6,1,1,7,2008,1,7,2008,1,1,1,1,5,5,1,1,5,5,5,5,5,5,1,1,2,2,1,4,2008,12,16,2007,1,6,2008,1,6,2008
1,4414,4,1,1,4,7,1,6,2008,1,6,2008,1,1,1,1,5,5,1,1,5,5,5,5,5,5,1,1,1,5,1,2,2008,1,5,2008,1,2,2008,1,5,2008
1,6165,3,1,1,3,7,1,13,2008,1,13,2008,1,1,5,5,5,5,1,1,5,5,5,5,5,5,1,1,1,1,1,8,2008,1,12,2008,1,8,2008,1,12,2008
1,6165,4,1,1,3,7,1,13,2008,1,13,2008,1,1,5,5,5,5,1,1,5,5,5,5,5,5,1,1,1,1,1,8,2008,1,12,2008,1,8,2008,1,12,2008
1,204,2,1,1,3,7,12,31,2007,12,31,2007,5,5,1,1,5,5,1,1,5,5,5,5,5,5,1,1,3,3,12,18,2007,12,22,2007,12,28,2007,12,28,2007
1,2370,3,1,1,2,1,12,8,2007,12,8,2007,1,1,1,1,5,5,1,1,5,5,5,5,5,5,3,3,1,1,99,99,9999,12,2,2007,99,99,9999,99,99,9999
1,2370,4,1,1,2,1,11,20,2007,11,30,2007,1,1,1,1,5,5,1,1,1,1,5,5,5,5,3,3,3,4,11,26,2007,11,25,2007,11,27,2007,11,27,2007
1,7453,3,1,1,3,7,12,19,2007,12,19,2007,5,5,5,5,1,1,5,5,1,1,5,5,5,5,3,3,2,4,12,11,2007,12,15,2007,12,14,2007,12,16,2007
1,3461,3,1,1,6,7,10,10,2007,10,10,2007,1,1,1,1,5,5,5,5,1,1,5,5,5,5,3,3,1,1,10,5,2007,10,6,2007,10,7,2007,10,7,2007
1,7071,3,1,1,5,7,10,29,2007,10,29,2007,1,1,5,5,5,5,1,1,5,5,5,5,5,5,1,1,1,3,10,18,2007,10,6,2007,10,18,2007,10,7,2007
1,7071,4,1,1,5,7,10,29,2007,10,29,2007,1,1,5,5,5,5,1,1,5,5,5,5,5,5,1,1,1,4,10,11,2007,10,6,2007,10,11,2007,10,7,2007
1,3463,3,1,1,2,7,11,12,2007,11,12,2007,1,1,1,1,5,5,1,1,5,5,5,5,5,5,1,1,1,4,11,10,2007,11,10,2007,11,10,2007,11,10,2007
1,3463,4,1,1,2,7,11,12,2007,11,12,2007,1,1,1,1,5,5,1,1,1,1,5,5,5,5,3,3,2,3,11,5,2007,11,10,2007,11,5,2007,11,10,2007
1,2504,3,1,1,3,7,10,30,2007,10,30,2007,5,5,1,1,1,5,1,1,1,5,5,5,1,5,7,6,3,1,10,30,2007,10,27,2007,10,30,2007,10,30,2007
1,2504,4,1,1,3,7,10,30,2007,10,30,2007,5,5,1,1,1,5,1,1,1,1,5,5,1,5,7,7,3,2,10,30,2007,10,27,2007,10,31,2007,10,30,2007
1,3348,3,1,1,4,1,1,15,2008,1,15,2008,1,1,5,5,1,1,1,1,1,1,5,5,5,5,3,3,2,2,1,9,2008,1,6,2008,1,9,2008,1,6,2008
1,3348,4,1,1,4,1,10,24,2007,10,24,2007,1,1,1,1,5,5,1,1,1,5,5,5,5,5,3,1,4,2,10,17,2007,10,21,2007,10,17,2007,10,21,2007
1,7512,5,1,1,6,7,1,20,2008,12,20,2007,1,1,1,1,5,5,1,1,5,5,5,5,5,5,1,1,3,5,1,18,2008,1,19,2008,1,18,2008,1,19,2008
1,7070,4,1,1,6,7,4,6,2008,4,6,2008,5,5,1,1,5,5,1,1,5,5,5,5,5,5,6,9,3,9,4,4,2008,99,99,9999,4,6,2008,99,99,9999
1,4670,3,1,1,2,1,11,11,2007,11,11,2007,1,5,1,1,5,5,1,1,5,5,5,5,1,1,1,7,1,1,11,5,2007,11,4,2007,11,11,2007,11,11,2007
1,1776,3,1,1,2,1,12,2,2007,12,2,2007,1,1,1,1,5,5,1,1,1,1,5,5,5,5,3,3,1,1,11,26,2007,11,25,2007,11,26,2007,11,25,2007
1,5913,3,1,1,4,7,10,22,2007,10,22,2007,1,1,1,1,5,5,1,1,1,1,5,5,5,5,3,3,3,3,10,10,2007,10,13,2007,10,10,2007,10,13,2007
1,5177,3,1,1,5,7,12,16,2007,12,16,2007,1,1,1,1,5,5,1,1,5,5,5,5,5,5,1,1,3,4,12,13,2007,12,15,2007,12,13,2007,12,15,2007
