EMSREL,EMSID01,EMSSN01,Q29A1MON,Q29A1DAY,Q29A1YR,Q29A2A,Q29A2B,Q29A2C,Q29A2D,Q29A2E,Q29A3,Q29A4,Q29A5,Q29A6,Q29A7,Q29A8,Q29A9,Q29A10,Q29A11,Q29A12,Q29A13A,Q29A13B,Q29A14A,Q29A14B,Q29A14C,Q29A14D,Q29A15,Q29A15A,Q29A16,Q29A16A,Q29A17,Q29A18,Q29A18A,Q29A18B,Q29A19,Q29A19A1,Q29A19A2,Q29A19A3,Q29A19A4,Q29A19A5,Q29A19B1,Q29A19B2,Q29A19C,Q29A19D,Q29A19E,Q29A20,Q29A21,Q29A21A,Q29A21B,Q29A22,Q29A22A1,Q29A22A2,Q29A22A3,Q29A22A4,Q29A22A5,Q29A22B1,Q29A22B2,Q29A22C,Q29A22D,Q29A22E,Q29B1A,Q29B1B,Q29B1C,Q29B1D,Q29B1E,Q29B1F,Q29B2A,Q29B2B,Q29B2C,Q29B2D,Q29B2E,Q29B2F,Q29B2G,Q29B3A,Q29B3B,Q29B3C,Q29B3D,Q29B3E,Q29B3F,Q29B4,Q29B5,Q29B6A,Q29B6B,Q29B6C,Q29B6D,Q29B6E,Q29B6F,Q29B7A,Q29B7B,Q29B7C,Q29B7D,Q29B7E,Q29B8,Q29B9A,Q29B9B,Q29B9C,Q29B9D,Q29B10A,Q29B10B,Q29B10C,Q29C1,Q29C1A,Q29C2A,Q29C2B,Q29C2C,Q29C2D,Q29C2E,Q29C2F,Q29C2G,Q29C3_1,Q29C3_2,Q29C3_3,Q29C3_4,Q29C3_5,Q29C3_7,Q29C4A,Q29C4B,Q29C4C,Q29C4D,Q29C4E,Q29C4F,Q29C4G,Q29C4H,Q29D1,Q29D2A,Q29D2B,Q29D3,Q29D4_1,Q29D4_2,Q29D4_3,Q29D4_4,Q29D4_5,Q29D4_6,Q29D4_7,Q29D5,Q29D6,Q29D7,Q29D8,Q29D9,Q29D9A,Q29D10A,Q29D10B,Q29D10C,Q29D11,Q29B2FCD,Q29B4A_1,Q29B4A_2,Q29C3ACD,Q29D4ACD,Q29D6ACD,Q29D8CD1,Q29D8CD2
3,218,5,5,3,2003,4,4,4,4,4,6,5,5,5,5,1,2,1,5,0,0,1,2,3,2,3,5,0,1,0,1,1,1,2,1,1,1,1,1,5,0,45,3,100,100,1,1,1,1,1,5,1,5,1,5,0,15,1,100,100,0,2,0,0,0,1,16,0,0,1,0,3,20,2,0,1,3,6,1,6,7,3,3,1,1,3,1,1,1,2,2,1,4,100,90,100,90,2,5,3,5,0,2,4,4,1,1,1,4,5,1,1,1,5,5,2,2,2,1,1,1,1,2,12,10,8,6,1,5,1,1,1,1,1,2,1,1964,5,1,5,5,5,3,2,22,0,0,2,0,0,0,0
3,226,3,5,7,2003,2,3,3,1,3,3,1,1,5,5,3,3,3,5,0,0,0,2,2,2,2,5,0,2,6,1,1,1,3,1,1,1,1,1,1,0,45,4,75,95,1,5,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,17,3,1,0,0,0,21,0,4,10,10,4,1,6,5,6,2,2,1,4,3,1,1,1,1,1,4,95,95,95,95,2,4,4,5,0,1,2,2,1,1,1,1,5,5,1,1,5,5,1,1,1,1,1,1,1,1,33,32,0,7,5,5,1,1,1,1,1,2,1,1948,5,1,5,5,5,5,2,0,0,0,3,0,0,0,0
3,235,3,4,7,2003,3,3,3,2,1,5,1,1,5,5,2,2,3,5,0,0,1,2,3,1,1,5,0,3,1,1,1,1,2,1,1,1,1,1,5,0,30,2,0,100,1,5,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0,0,0,16,2,1,0,0,0,19,0,14,9,9,7,1,6,6,4,4,1,1,5,4,1,2,3,1,1,3,75,60,100,60,2,5,3,5,0,3,4,2,2,4,4,2,5,1,1,1,5,1,1,1,1,1,1,1,1,1,6,1,8,6,5,5,1,1,1,1,1,2,1,1973,5,1,5,4,5,5,3,0,0,0,0,0,0,0,0
3,285,3,4,24,2003,2,3,2,2,2,1,1,1,5,5,2,3,3,5,5,5,0,2,3,3,1,1,2,3,1,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,3,1,1,1,5,1,5,2,0,1,45,25,1,0,0,1,0,0,19,3,1,0,1,0,24,2,12,6,8,7,2,6,4,6,6,6,1,6,6,1,1,1,1,1,3,75,65,75,60,2,5,1,5,0,2,2,4,1,1,1,1,5,1,1,1,5,5,2,1,1,1,1,1,1,1,6,5,0,6,1,5,5,1,1,1,1,2,1,1951,5,1,5,5,5,5,1,0,0,0,13,0,0,0,0
3,288,4,4,4,2003,3,3,2,2,3,3,5,5,5,5,2,3,2,5,0,0,0,2,2,2,1,5,0,1,0,1,1,1,3,1,1,1,1,1,5,0,15,1,50,50,1,5,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,20,1,1,0,0,0,22,0,99,4,8,5,0,6,7,1,1,2,2,1,6,1,2,2,2,1,3,98,98,100,100,3,5,1,1,1,1,1,1,1,1,1,5,5,1,1,1,5,1,1,1,1,1,1,1,1,1,22,22,0,7,1,5,1,1,1,1,5,2,1,1958,5,1,1,5,5,4,1,0,0,0,0,2,0,0,0
3,301,6,5,28,2003,2,2,2,2,3,3,1,1,5,5,1,3,3,5,0,0,0,2,3,2,1,1,2,3,6,1,1,1,3,1,1,1,1,1,1,0,30,5,50,50,1,1,1,3,1,1,1,1,1,1,0,20,4,50,50,1,0,1,1,0,0,1,23,0,0,0,0,24,0,5,8,8,6,2,6,5,4,4,4,1,3,3,1,1,1,2,1,8,70,70,100,70,2,1,2,5,0,8,3,8,3,1,2,2,5,1,1,1,5,5,2,1,1,1,1,1,1,1,23,18,0,7,1,5,5,1,1,1,5,2,8,9998,5,5,0,5,4,4,9,0,0,0,3,3,0,0,0
3,303,4,9,3,2003,2,3,3,2,4,2,1,5,5,5,2,3,1,0,0,0,0,3,3,3,3,1,2,2,1,1,5,0,0,1,1,5,1,5,1,0,20,6,100,80,1,5,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,2,2,14,8,3,2,0,1,28,1,6,1,0,25,2,6,1,2,1,1,1,1,1,1,1,1,4,1,5,95,95,100,100,1,4,5,5,0,1,2,2,1,1,1,2,5,5,1,1,1,5,2,1,2,1,1,1,1,2,20,5,1,6,1,5,1,1,1,1,1,2,1,1949,5,5,0,5,5,1,1,10,0,0,11,0,0,0,0
3,309,4,5,20,2003,3,3,3,3,3,6,8,5,5,5,3,2,2,5,0,0,0,2,3,3,3,1,2,4,4,1,5,0,0,1,1,1,1,1,5,98,30,1,100,100,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,14,7,4,98,98,98,25,0,10,4,9,2,1,6,2,3,9,3,8,4,4,1,1,2,3,1,5,100,98,95,95,2,3,4,5,0,2,5,2,3,1,2,2,5,1,1,1,5,5,2,2,2,9,9,9,1,2,4,98,9,6,1,5,1,1,1,1,1,2,1,1957,5,5,0,5,5,5,2,0,0,0,10,0,0,0,0
3,359,4,6,8,2003,2,2,3,3,3,2,1,1,5,5,2,3,3,5,0,0,98,2,1,3,3,5,0,5,1,5,0,0,0,0,5,5,5,5,5,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,98,1,98,98,98,18,2,2,1,98,98,23,1,0,5,5,18,1,6,3,3,1,3,2,1,3,2,3,2,3,1,4,100,98,100,95,2,5,3,5,0,2,2,2,1,1,1,1,5,1,1,1,5,5,1,1,1,1,1,1,1,1,8,3,6,6,1,5,1,5,1,1,1,2,1,1950,5,1,2,4,4,4,1,0,0,0,2,0,0,0,0
3,368,5,6,12,2003,4,4,4,4,5,6,5,5,5,5,2,1,1,0,0,5,98,3,1,3,1,5,0,1,0,1,1,5,0,1,1,1,1,1,5,98,45,3,100,95,1,5,0,0,0,0,0,0,0,0,0,0,0,0,0,1,98,98,1,98,1,22,0,5,1,0,0,28,2,11,5,9,8,2,6,4,3,1,1,1,1,2,2,2,2,2,1,3,10,75,10,75,3,5,4,5,0,2,2,2,3,5,3,2,1,1,1,1,1,1,8,8,8,8,8,8,8,8,98,98,98,98,1,1,1,1,1,1,1,8,8,1972,5,1,5,4,4,5,1,0,0,0,0,0,0,0,0
3,385,2,4,2,2003,4,4,4,3,1,6,5,5,5,5,2,1,2,5,2,0,0,2,1,2,1,5,0,1,0,1,1,1,1,1,1,5,1,1,5,1,0,3,25,75,1,5,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,24,0,3,1,0,0,28,2,11,2,12,6,3,6,3,3,1,1,3,3,1,1,2,3,3,1,4,95,95,98,95,2,5,5,5,0,2,2,1,1,1,1,4,5,1,1,1,5,5,2,1,1,1,1,1,1,1,3,3,0,6,1,5,1,1,1,1,1,2,1,1954,5,1,4,5,5,5,2,0,0,0,3,0,0,0,0
3,395,3,9,22,2003,4,4,5,3,3,7,5,5,5,5,2,2,2,5,0,1,98,2,2,2,2,5,0,2,6,1,5,0,0,1,1,1,1,1,5,0,30,2,75,60,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,98,98,98,98,98,22,98,98,98,98,1,23,0,0,0,2,7,1,6,5,6,6,3,8,8,3,1,1,1,1,1,2,90,85,90,85,2,5,2,5,0,1,1,1,1,1,1,1,5,1,1,1,5,1,1,1,1,1,1,1,1,1,1,1,1,6,1,5,1,1,1,1,1,2,1,1980,5,5,0,5,4,5,2,2,0,0,0,0,0,0,0
3,395,4,5,14,2003,4,3,4,3,4,7,5,5,5,5,2,1,2,5,0,1,0,2,1,2,1,1,1,3,7,1,1,1,1,1,1,1,1,1,5,98,13,1,85,83,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,23,0,0,1,0,0,24,0,99,2,4,14,1,6,5,4,4,3,1,2,3,1,1,2,2,1,4,91,91,91,91,2,5,1,5,0,2,2,1,5,1,2,1,5,1,1,1,1,5,1,1,1,1,1,1,1,1,7,7,8,7,1,5,1,1,1,1,1,2,1,1973,5,5,0,4,4,4,1,0,0,0,15,0,0,0,0
3,430,4,4,8,2003,4,5,4,4,4,7,5,5,5,5,1,1,1,0,0,2,0,1,3,3,3,5,0,2,6,1,1,5,0,5,0,0,0,0,0,0,0,0,0,0,1,5,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,0,3,17,0,0,1,0,0,18,1,0,0,3,8,0,6,1,2,2,2,1,1,1,1,1,1,1,1,4,0,0,0,0,1,4,1,1,5,1,1,1,1,1,1,1,5,1,1,1,5,1,1,1,1,1,1,1,1,1,10,14,8,6,5,5,1,1,1,1,1,2,1,1951,5,1,2,5,5,5,1,0,0,0,0,0,0,0,0
3,478,3,4,30,2003,5,5,5,5,5,7,5,5,5,5,1,1,1,5,0,0,0,2,3,3,3,5,0,2,7,1,5,0,0,1,8,8,8,8,8,0,45,1,40,100,1,5,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,8,1,2,10,0,0,21,0,99,3,4,7,2,6,3,3,3,1,3,2,3,1,2,2,2,1,5,100,90,90,90,2,3,5,5,0,2,5,9,2,1,2,1,5,5,1,1,5,5,1,2,1,1,1,1,1,1,22,5,0,6,5,5,1,1,1,1,5,2,1,1956,5,1,3,5,4,2,1,0,0,0,5,5,0,0,0
3,478,4,4,22,2003,3,2,2,3,3,2,5,5,5,5,2,3,2,5,0,0,0,3,3,3,3,5,0,2,7,1,1,1,3,1,1,1,1,1,5,0,20,2,100,100,1,5,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2,9,2,1,2,0,5,19,5,2,0,3,7,3,6,3,4,4,4,1,4,4,1,1,1,1,1,5,90,90,90,90,2,5,4,5,0,2,3,3,1,2,2,1,5,1,1,1,5,1,2,1,2,1,1,1,1,2,6,0,8,6,5,5,1,1,1,1,1,2,1,1971,5,1,5,4,4,4,2,22,0,0,0,0,0,0,0
3,484,3,4,29,2003,5,5,5,4,5,6,5,5,5,5,1,2,2,5,0,0,1,1,3,2,1,5,0,2,7,1,1,5,0,1,5,1,5,5,5,0,10,1,100,100,1,5,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0,0,0,16,4,0,0,0,0,20,0,99,5,7,2,1,6,4,6,4,2,1,4,1,1,1,1,1,1,3,75,75,100,75,4,1,5,5,0,2,2,3,4,1,1,1,5,5,1,1,5,5,2,1,1,1,1,1,1,1,7,1,8,7,5,5,1,1,1,1,1,2,1,1972,5,1,4,5,5,5,1,0,0,0,3,0,0,0,0
3,488,3,4,14,2003,5,4,4,4,5,6,5,5,5,5,1,1,1,1,0,0,0,3,2,3,3,5,0,3,6,1,1,1,1,5,0,0,0,0,0,0,0,0,0,0,1,5,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,10,1,0,3,0,1,15,0,0,2,2,4,1,6,1,4,4,4,4,4,1,1,1,3,3,1,5,98,98,98,98,2,5,3,1,5,2,2,2,2,1,2,1,5,1,1,1,5,5,1,1,1,1,1,1,1,1,20,5,0,6,5,5,1,1,1,1,1,2,1,1944,5,1,4,5,5,5,1,16,0,0,8,0,0,0,0
3,494,3,4,21,2003,4,3,3,3,3,6,1,1,5,5,2,2,3,5,0,1,0,2,2,2,1,1,2,3,2,1,5,0,0,1,1,1,1,1,5,1,30,6,95,95,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,19,3,1,0,0,0,23,0,15,0,0,20,1,5,1,4,3,2,1,1,2,1,1,1,1,1,3,98,98,98,98,3,4,9,5,0,1,1,1,1,1,1,1,5,1,1,1,5,5,1,2,1,1,1,1,1,1,18,7,8,7,5,5,1,1,1,1,5,2,1,1946,5,5,0,4,4,4,3,0,1,0,5,2,0,0,0
3,501,3,9,15,2003,4,4,4,4,5,7,5,5,5,5,2,1,2,5,0,1,0,3,3,3,3,5,0,3,7,1,1,1,1,5,0,0,0,0,0,0,0,0,0,0,1,1,1,1,5,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,12,0,0,0,0,0,12,0,7,2,2,0,0,6,3,5,4,4,1,4,3,1,1,1,1,1,4,100,100,100,100,2,5,3,5,0,1,1,1,1,1,1,1,5,1,1,1,5,5,1,1,1,1,1,1,1,1,19,4,0,6,1,5,1,1,1,1,1,2,1,1945,5,5,0,5,5,5,1,0,0,0,5,0,0,0,0
3,501,4,4,4,2003,2,2,2,2,3,2,5,5,5,5,2,3,2,5,2,99,99,3,2,2,1,5,0,2,7,1,1,1,2,1,1,1,1,1,1,0,15,6,100,100,1,5,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,16,0,0,0,0,0,16,0,99,0,4,4,0,6,24,6,1,4,1,1,2,1,1,2,2,1,4,80,80,100,80,2,1,5,5,0,1,1,1,1,1,1,1,5,1,1,1,5,5,1,1,1,1,1,1,1,1,20,5,0,7,1,5,1,1,1,1,5,2,1,1950,5,1,2,5,4,4,1,0,0,0,5,2,0,0,0
3,533,4,4,22,2003,4,4,4,5,4,6,5,5,5,5,1,1,2,5,0,0,0,2,3,3,2,5,0,1,0,1,5,0,0,1,1,1,1,1,1,0,15,6,100,100,1,1,1,1,5,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,27,1,3,0,0,0,31,3,7,4,10,8,5,6,2,1,1,1,1,1,3,1,1,1,1,1,3,80,80,20,80,2,5,3,5,0,2,2,3,2,2,3,1,5,1,5,1,5,5,2,2,1,1,1,1,1,2,5,4,0,6,1,5,1,1,1,1,1,2,1,1956,5,5,0,5,5,5,1,0,0,0,3,0,0,0,0
3,549,6,5,21,2003,4,3,3,4,4,3,5,5,5,5,1,3,2,5,0,0,0,2,3,2,3,5,0,2,6,1,1,1,2,1,5,5,5,5,1,99,99,5,0,0,1,1,5,0,5,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,3,18,2,0,2,1,1,24,1,99,5,5,15,3,6,5,4,4,1,1,4,3,1,1,1,1,1,1,90,80,85,90,2,3,5,1,5,1,1,8,1,1,1,1,5,1,1,1,5,5,1,1,1,1,1,1,1,1,13,8,0,6,1,5,5,1,1,1,5,2,1,1956,5,1,5,5,5,5,3,10,0,0,17,8,0,0,0
3,588,3,2,15,2003,4,4,4,4,4,6,5,5,5,5,2,1,2,5,0,0,0,3,3,3,3,5,0,4,6,1,5,0,0,1,1,1,1,1,5,0,25,2,100,100,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,5,8,7,0,0,0,20,3,99,1,5,0,3,6,4,2,3,2,1,2,2,1,1,1,1,1,4,90,90,100,80,5,4,2,5,0,4,3,2,1,1,2,1,5,1,1,1,5,1,2,2,1,1,1,1,1,2,26,15,0,6,1,5,1,1,1,1,1,2,1,1950,5,1,1,4,5,4,2,0,0,0,0,0,0,0,0
3,588,4,5,22,2003,5,5,5,4,5,7,5,5,5,5,2,1,1,1,0,3,98,2,3,2,2,1,2,2,8,1,1,1,1,5,0,0,0,0,0,0,0,0,0,0,1,5,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,7,7,2,1,98,2,19,0,99,1,2,5,3,6,5,6,6,3,2,6,2,2,1,1,1,1,2,998,998,30,60,2,3,2,5,0,2,4,3,2,3,3,1,5,1,1,1,5,1,2,2,2,1,1,1,1,2,4,4,98,6,5,5,1,1,1,5,5,2,1,1977,5,1,3,3,4,4,1,22,0,0,0,1,0,0,0
3,594,3,5,16,2003,2,3,1,1,3,7,5,5,5,5,3,1,2,0,0,0,0,2,3,3,1,5,0,2,6,1,5,0,0,1,1,1,1,1,5,0,30,1,100,100,1,5,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,23,0,0,0,0,0,23,0,0,6,3,8,1,6,2,4,4,1,1,4,4,1,1,2,2,1,4,100,90,100,90,2,5,4,1,5,3,1,1,1,1,2,4,5,1,1,1,5,5,1,1,1,1,1,1,1,1,13,12,9,6,1,5,5,1,1,1,1,2,1,1949,5,1,3,5,5,5,1,0,0,0,3,0,0,0,0
3,594,4,4,25,2003,3,3,3,3,2,6,5,5,5,5,1,1,1,5,0,0,0,2,3,2,1,5,0,1,0,1,5,0,0,1,1,1,1,1,5,0,45,2,100,100,1,5,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,20,0,0,0,0,0,20,0,0,0,0,5,0,6,2,2,2,1,1,2,1,1,1,1,1,1,5,100,100,100,100,3,5,4,1,5,2,4,2,1,3,4,3,5,1,1,1,1,1,1,1,1,1,1,1,1,1,27,20,0,6,1,1,1,1,1,1,5,2,1,1943,5,5,0,5,5,5,1,0,0,0,0,98,0,0,0
3,602,3,6,4,2003,3,2,3,3,4,6,5,5,5,5,2,3,3,5,0,0,0,3,3,3,2,5,0,2,6,1,1,1,3,1,1,1,1,1,1,0,10,6,75,75,1,5,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,26,0,0,0,0,1,27,1,0,3,3,3,2,6,3,4,3,1,1,4,1,1,1,1,1,1,3,80,80,80,80,3,3,3,5,0,2,1,1,1,2,2,1,5,1,1,1,5,5,1,1,1,1,1,1,1,1,3,3,0,6,5,5,1,1,1,1,5,2,1,1977,5,1,2,5,5,4,3,9,0,0,18,2,0,0,0
